nbv5falrl2fg253w.onion:8333,+Inf
[2a01:4f8:192:72e9::2]:8433,+Inf
47.244.44.239:8333,+Inf
54.162.18.23:8333,+Inf
[240e:e0:625a:1f00:de7:4e94:76b3:c668]:8333,0.145173
[2403:6200:88a2:3d6d:6c02:c7f6:25e7:be05]:8333,0.130197
149.224.79.82:8333,0.003712
195.201.235.135:8333,+Inf
88.130.217.69:8333,0.168218
93.201.124.138:8333,+Inf
[2a01:4f8:150:53c6::2]:8333,+Inf
we4ohrx5wn267zlj.onion:8333,+Inf
188.109.15.184:8333,0.213288
210.185.105.175:8333,0.000757
79.210.163.194:8333,+Inf
216.154.55.111:8333,0.005828
176.9.148.163:9335,0.271305
2.221.38.170:8333,0.023831
2.42.73.87:8333,0.052377
79.203.44.55:8333,0.030880
94.242.54.163:8333,+Inf
106.69.67.136:8333,0.007348
185.107.80.146:8333,+Inf
5.9.143.40:8333,+Inf
108.231.45.142:8333,0.000101
18.176.132.137:8333,+Inf
[2600:1f14:34a:fe00:f79c:17b7:6f75:95b7]:8333,0.137484
fszxl3j53nhpw3sl.onion:8333,+Inf
kulz47yca7ybyfvg.onion:8333,+Inf
t5xin3jfl7mveuil.onion:8333,+Inf
24.150.17.136:8333,+Inf
46.93.199.4:8333,0.003726
4a5uxm3prnx5meyh.onion:8333,+Inf
[2a01:e34:efd5:8320:6878:1683:d7f0:c943]:8333,0.069953
116.202.97.135:8333,+Inf
[2001:41d0:2:a707::]:8333,+Inf
[2001:b011:e602:52ea:85e:6d36:32d4:c42f]:8333,0.008510
188.74.31.130:8333,0.011539
5waihp6dr4jhfbqf.onion:8333,+Inf
77.183.65.144:8333,+Inf
79.195.70.146:8333,0.004462
80.109.75.98:8333,+Inf
124.121.12.117:8333,+Inf
144.76.91.46:8333,+Inf
175.118.126.20:8333,+Inf
[2a00:1fa1:43da:1a78:1407:4638:b679:6ebb]:8333,0.011823
[2a01:4f8:191:418f::2]:8333,+Inf
etyknradkymzjgcp.onion:8333,+Inf
[2400:81c0:dc01:20:a0d5:bfdb:48c6:62d3]:8333,0.000661
jjthqmrrkctqqozd.onion:8333,+Inf
173.92.221.245:8333,+Inf
217.129.153.141:8333,2.576182
5hsgrp3w6spunbii.onion:8333,+Inf
18.177.142.145:8333,0.000046
185.156.174.27:8303,+Inf
115.96.253.109:8333,0.098836
141.223.121.178:8333,0.001400
18.139.59.35:8333,1.032986
45.32.200.78:8333,+Inf
73.188.244.198:8333,0.076991
77.125.59.17:8333,0.001076
77.183.141.160:8333,0.137566
82.207.217.161:8333,0.015761
136.243.155.216:8333,+Inf
172.105.7.19:8333,+Inf
184.68.97.62:8333,+Inf
yhbbyp2eia2ixsli.onion:8333,+Inf
209.97.163.155:8333,+Inf
216.154.12.66:8333,0.000250
47.113.108.77:8333,+Inf
5.182.39.17:8333,0.000130
69.118.65.228:8333,+Inf
109.250.134.244:8333,0.000872
139.59.193.87:8333,0.000723
145.239.9.3:8333,+Inf
84.166.22.92:8333,+Inf
94.134.41.145:8333,+Inf
178.128.80.91:8333,+Inf
[2605:f700:100:400::131:5b54]:8333,0.000065
109.160.22.172:8333,4.752998
149.248.13.187:8333,+Inf
176.104.16.58:8333,0.000025
[2804:14d:4c81:8c10::1000]:8333,0.000575
ni5h53mieppxtmoo.onion:8333,+Inf
71.222.70.23:8333,+Inf
77.40.60.159:8333,6.250000
94.242.213.120:8333,0.001976
93.231.115.101:8333,+Inf
[2601:1c0:5401:9e50:2833:ec2e:4ac4:76c4]:8333,0.010681
t2thr46jg7wga5ng.onion:8333,+Inf
178.238.235.39:8333,+Inf
85.214.106.245:8333,0.000114
89.103.99.67:8333,40.639699
fqunuhlwvd7rq6d5.onion:8333,+Inf
104.198.116.82:8333,+Inf
7e2rbehxwcptlxvn.onion:8333,0.000556
[2a01:4f8:172:cc3::2]:8333,+Inf
[2a01:4f8:191:3165::2]:8333,+Inf
167.114.210.199:8333,0.000053
217.95.17.99:8333,0.197779
34.234.208.165:8333,+Inf
5fembicnosz4y2la.onion:8333,0.000181
80.111.39.30:8333,12.696547
85.131.115.18:8333,0.000019
[2a01:e0a:1fe:6200:19e5:8a72:ee7e:7b89]:8333,0.014894
i5fr3pxnnke5lez7.onion:8333,+Inf
136.49.127.246:8333,+Inf
206.45.159.89:8333,0.079465
24.19.221.71:8333,0.000032
66.232.124.232:8333,+Inf
[2a01:cb19:8b13:d600:a0f1:de5b:f076:6647]:8333,0.187583
116.203.188.129:8333,+Inf
138.68.87.99:8333,+Inf
217.251.132.112:8333,0.003770
149.224.86.246:8333,0.012433
[2601:2c5:680:d4d0:40b5:746e:c151:8922]:8333,0.003190
ddlvd2cjbjprsetq.onion:8333,+Inf
77.40.89.172:8333,46.905537
[2600:1f16:625:e00:93c2:615f:a79a:c11f]:8333,0.539929
vyxoizdzavp3obau.onion:8333,+Inf
116.86.227.35:8333,4.552640
173.249.0.235:8333,+Inf
23.175.0.202:8333,+Inf
